name,rating,address,phone,website,city
,8.1,"Gassacherweg 6, ",+41793708666,"<div>pronails.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.pronails.ch%2F"">⇒</a></div>",
,8.2,"Grand Rue 57, ",0263213227,"<div>institut-pause-douceur.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.institut-pause-douceur.ch%2F"">⇒</a></div>",
,8.1,"Eisenbahnstrasse 20, ",0797900761,"<div itemprop=""telephone"">0797900761</div>",
,8.2,"Rte de La Télécabine 7, Le Raccard, ",+41272881857,"<div>nendspirit.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.nendspirit.ch%2F"">⇒</a></div>",
,8.2,"Rue du Pas de l'Ours 41, ",+4127 485 93 33,"<div>pasdelours.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.pasdelours.ch%2F"">⇒</a></div>",
,8.7,"Rosentalstrasse 21, ",+41762821000,"<div>glam-beauty.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.glam-beauty.ch%2F"">⇒</a></div>",
,8.5,"Aeschwuhrstrasse 5, ",0797308565,"<div>zeit-fuer-dich.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.zeit-fuer-dich.ch%2F"">⇒</a></div>",
,8.5,"Delsbergerstrasse 9, ",41617616274,"<div>coiffureteamdavide.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.coiffureteamdavide.ch%2F"">⇒</a></div>",
,8.3,"Route de France 8, ",+41218450845,"<div>hoteldeshorlogers.com <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.hoteldeshorlogers.com%2F"">⇒</a></div>",
,8.3,"Chemin Chenevière 2, ",,"<div>bossey.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.bossey.ch"">⇒</a></div>",
,8.3,"Dorfstrasse 31, ",0041 79 240 72 43,"<div>myrelax.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.myrelax.ch%2F"">⇒</a></div>",
,8.3,"Riedbachstrasse 98, ",+41315569595,"<div>bernaqua.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.bernaqua.ch"">⇒</a></div>",
,8.3,"Bahnhofplatz 11, ",+41313268080,"<div>schweizerhofbern.com <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.schweizerhofbern.com%2F"">⇒</a></div>",
,8.3,"Ochsenriedstrasse 9, ",+41793202103,"<div>labellaposa.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.labellaposa.ch%2F"">⇒</a></div>",
,8.7,"Obertor 35, ",+41522020975,"<div>panisa.ch <a style=""text-decoration:none;"" rel=""nofollow"" href=""/goto.php?gotocode=4b610b3eb95cab977ca8926bb60c1e76&amp;goto=http%3A%2F%2Fwww.panisa.ch%2F"">⇒</a></div>",
